sequence,kind,name,name_zh_hans,filename,relative_path,image_url,source_page,source,translation_source,content_type,bytes,sha256,status,error
029,pokemon,Carkol,大炭车,029-carkol.png,assets/pokopia_image_sources/pokemon_portraits/029-carkol.png,https://pokopiadex.com/images/pokemon/sprites/carkol.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,147331,068b9a351df2039bb9d001cc2f2a01eec5d10c45579aeb1993033b857eac21fd,ok,
030,pokemon,Ceruledge,苍炎刃鬼,030-ceruledge.png,assets/pokopia_image_sources/pokemon_portraits/030-ceruledge.png,https://pokopiadex.com/images/pokemon/sprites/ceruledge.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,114319,a7b322352d1ed9bbf91226b0bd555d0e3c774eb875495bc46be2e2bec2a2702c,ok,
031,pokemon,Chandelure,水晶灯火灵,031-chandelure.png,assets/pokopia_image_sources/pokemon_portraits/031-chandelure.png,https://pokopiadex.com/images/pokemon/sprites/chandelure.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,128010,f9c7fbe8eb540c40ae985c2520f9f75021d7f0a7af5ec4c330ee0611ec8bcfbb,ok,
032,pokemon,Chansey,吉利蛋,032-chansey.png,assets/pokopia_image_sources/pokemon_portraits/032-chansey.png,https://pokopiadex.com/images/pokemon/sprites/chansey.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,142085,d8f69b7695769ea4a04e025987861c96ca71ff4ff7d9334dc62ba6b67e10d9c7,ok,
033,pokemon,Charcadet,炭小侍,033-charcadet.png,assets/pokopia_image_sources/pokemon_portraits/033-charcadet.png,https://pokopiadex.com/images/pokemon/sprites/charcadet.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,56418,157bf0bd6ed6b01537318877074ea6974abf48fcdae2334443b88f4fe6c1a70b,ok,
034,pokemon,Charizard,喷火龙,034-charizard.png,assets/pokopia_image_sources/pokemon_portraits/034-charizard.png,https://pokopiadex.com/images/pokemon/sprites/charizard.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,130368,ffe2db1065f91feda24f21c81c461e4ca6b863cf31afb4e4918aba79fb31ee70,ok,
035,pokemon,Charjabug,虫电宝,035-charjabug.png,assets/pokopia_image_sources/pokemon_portraits/035-charjabug.png,https://pokopiadex.com/images/pokemon/sprites/charjabug.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,110217,0b7432a9b31dbd4ac88ba2223e3ccc07da51f4328220584452a7573d88be8443,ok,
036,pokemon,Charmander,小火龙,036-charmander.png,assets/pokopia_image_sources/pokemon_portraits/036-charmander.png,https://pokopiadex.com/images/pokemon/sprites/charmander.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,107318,c6d932596f03ef73dec2ba27f728e085db63f27b9f9617d60b3e7690061eee93,ok,
037,pokemon,Charmeleon,火恐龙,037-charmeleon.png,assets/pokopia_image_sources/pokemon_portraits/037-charmeleon.png,https://pokopiadex.com/images/pokemon/sprites/charmeleon.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,114295,e80c8e201846e586d3b169d218fda1c44d045a44bc9aa8ef542ee78fa58b0bf8,ok,
038,pokemon,Chatot,聒噪鸟,038-chatot.png,assets/pokopia_image_sources/pokemon_portraits/038-chatot.png,https://pokopiadex.com/images/pokemon/sprites/chatot.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,97821,20cc75b4c9f21d59cfbe04e5981e53360d9e253f84664c305f29f202a2cc4e29,ok,
